dtidx,id,px
5465,sec_8,1165.24
5466,sec_8,1198.62
5467,sec_8,1185.9
5468,sec_8,1154.23
5469,sec_8,1162.27
5470,sec_8,1172.87
5471,sec_8,1188.67
5472,sec_8,1209.11
5473,sec_8,1216.01
5474,sec_8,1204.09
5475,sec_8,1202.09
5476,sec_8,1166.76
5477,sec_8,1129.56
5478,sec_8,1136.43
5479,sec_8,1162.95
5480,sec_8,1175.38
5481,sec_8,1151.06
5482,sec_8,1160.4
5483,sec_8,1131.42
5484,sec_8,1099.23
5485,sec_8,1123.95
5486,sec_8,1144.03
5487,sec_8,1164.97
5488,sec_8,1155.46
5489,sec_8,1194.89
5490,sec_8,1195.54
5491,sec_8,1207.25
5492,sec_8,1203.66
5493,sec_8,1224.58
5494,sec_8,1200.86
5495,sec_8,1225.38
5496,sec_8,1209.88
5497,sec_8,1215.39
5498,sec_8,1238.25
5499,sec_8,1254.19
5500,sec_8,1229.05
5501,sec_8,1242
5502,sec_8,1284.59
5503,sec_8,1285.09
5504,sec_8,1253.3
5505,sec_8,1218.28
5506,sec_8,1237.9
5507,sec_8,1261.15
5508,sec_8,1253.23
5509,sec_8,1261.12
5510,sec_8,1275.92
5511,sec_8,1229.1
5512,sec_8,1239.69
5513,sec_8,1263.86
5514,sec_8,1251.78
5515,sec_8,1257.81
5516,sec_8,1236.91
5517,sec_8,1216.13
5518,sec_8,1215.65
5519,sec_8,1192.98
5520,sec_8,1188.04
5521,sec_8,1161.79
5522,sec_8,1158.67
5523,sec_8,1192.55
5524,sec_8,1195.19
5525,sec_8,1246.96
5526,sec_8,1244.58
5527,sec_8,1244.28
5528,sec_8,1257.08
5529,sec_8,1258.47
5530,sec_8,1261.01
5531,sec_8,1234.35
5532,sec_8,1255.19
5533,sec_8,1236.47
5534,sec_8,1225.73
5535,sec_8,1211.82
5536,sec_8,1215.75
5537,sec_8,1219.66
5538,sec_8,1205.35
5539,sec_8,1241.31
5540,sec_8,1243.72
5541,sec_8,1254
5542,sec_8,1265.33
5543,sec_8,1265.43
5544,sec_8,1249.64
5545,sec_8,1263.02
5546,sec_8,1257.61
5547,sec_8,1277.06
5548,sec_8,1277.3
5549,sec_8,1281.06
5550,sec_8,1277.81
5551,sec_8,1280.7
5552,sec_8,1292.08
5553,sec_8,1292.48
5554,sec_8,1295.5
5555,sec_8,1289.09
5556,sec_8,1293.67
5557,sec_8,1308.04
5558,sec_8,1314.5
5559,sec_8,1315.38
5560,sec_8,1316
5561,sec_8,1314.65
5562,sec_8,1326.05
5563,sec_8,1318.43
5564,sec_8,1316.33
5565,sec_8,1313.01
5566,sec_8,1312.41
5567,sec_8,1324.09
5568,sec_8,1325.54
5569,sec_8,1344.9
5570,sec_8,1344.33
5571,sec_8,1347.05
5572,sec_8,1349.96
5573,sec_8,1351.95
5574,sec_8,1342.64
5575,sec_8,1351.77
5576,sec_8,1350.5
5577,sec_8,1343.23
5578,sec_8,1358.04
5579,sec_8,1361.23
5580,sec_8,1362.21
5581,sec_8,1357.66
5582,sec_8,1363.46
5583,sec_8,1365.74
5584,sec_8,1367.59
5585,sec_8,1372.17
5586,sec_8,1365.68
5587,sec_8,1374.09
5588,sec_8,1369.63
5589,sec_8,1364.34
5590,sec_8,1343.36
5591,sec_8,1352.63
5592,sec_8,1365.91
5593,sec_8,1370.87
5594,sec_8,1371.09
5595,sec_8,1395.95
5596,sec_8,1394.28
5597,sec_8,1402.6
5598,sec_8,1404.17
5599,sec_8,1409.75
5600,sec_8,1405.52
