DATE,VALUE
1975-08-07,7.1174
1975-08-08,7.2993
1975-08-11,7.2993
1975-08-12,7.2993
1975-08-13,7.2993
1975-08-14,7.2993
1975-08-15,7.2780
1975-08-18,7.2780
1975-08-19,7.2780
1975-08-20,7.2780
1975-08-21,7.2780
1975-08-22,7.4074
1975-08-25,7.4074
1975-08-26,7.4074
1975-08-27,7.4074
1975-08-28,7.4074
1975-08-29,7.4074
1975-09-01,.
1975-09-02,7.4074
1975-09-03,7.5472
1975-09-04,7.4074
1975-09-05,7.4074
1975-09-08,7.4074
1975-09-09,7.4074
1975-09-10,7.4074
1975-09-11,7.4074
1975-09-12,7.4349
1975-09-15,7.4349
1975-09-16,7.4349
1975-09-17,7.4349
1975-09-18,7.4349
1975-09-19,7.4074
1975-09-22,7.4074
1975-09-23,7.4074
1975-09-24,7.4074
1975-09-25,7.4074
1975-09-26,7.5472
1975-09-29,7.5472
1975-09-30,7.5472
1975-10-01,7.5472
1975-10-02,7.5472
1975-10-03,7.4074
1975-10-06,7.4074
1975-10-07,7.4074
1975-10-08,7.4074
1975-10-09,7.4074
1975-10-10,7.5472
1975-10-13,.
1975-10-14,7.5472
1975-10-15,7.5472
1975-10-16,7.5472
1975-10-17,7.5188
1975-10-20,7.5188
1975-10-21,7.5188
1975-10-22,7.5188
1975-10-23,7.5188
1975-10-24,7.5301
1975-10-27,7.5301
1975-10-28,7.5301
1975-10-29,7.5301
1975-10-30,7.4906
1975-10-31,7.5472
1975-11-03,7.5472
1975-11-04,.
1975-11-05,7.5472
1975-11-06,7.5472
1975-11-07,7.5472
1975-11-10,7.5472
1975-11-11,.
1975-11-12,7.5472
1975-11-13,7.5472
1975-11-14,7.5245
1975-11-17,7.5245
1975-11-18,7.5245
1975-11-19,7.5245
1975-11-20,7.5245
1975-11-21,7.4906
1975-11-24,7.4906
1975-11-25,7.4906
1975-11-26,7.4906
1975-11-27,.
1975-11-28,7.4906
1975-12-01,7.4906
1975-12-02,7.4906
1975-12-03,7.4906
1975-12-04,7.4906
1975-12-05,7.6628
1975-12-08,7.6628
1975-12-09,7.6628
1975-12-10,7.6628
1975-12-11,7.6628
1975-12-12,7.6628
1975-12-15,7.6628
1975-12-16,7.6628
1975-12-17,7.6628
1975-12-18,7.6628
1975-12-19,7.7101
1975-12-22,7.7101
1975-12-23,7.7101
1975-12-24,7.7101
1975-12-25,.
1975-12-26,7.7101
1975-12-29,7.7101
1975-12-30,7.7101
1975-12-31,7.7101
1976-01-01,.
1976-01-02,7.7101
1976-01-05,7.7101
1976-01-06,7.7101
1976-01-07,7.7101
1976-01-08,7.7101
1976-01-09,7.7220
1976-01-12,7.7220
1976-01-13,7.7220
1976-01-14,7.7220
1976-01-15,7.7220
1976-01-16,7.7220
1976-01-19,7.7220
1976-01-20,7.7220
1976-01-21,7.7220
1976-01-22,7.7220
1976-01-23,7.7220
1976-01-26,7.7220
1976-01-27,7.7220
1976-01-28,7.7220
1976-01-29,7.7220
1976-01-30,7.7042
1976-02-02,7.7042
1976-02-03,7.7042
1976-02-04,7.7042
1976-02-05,7.7042
1976-02-06,7.7220
1976-02-09,7.7220
1976-02-10,7.7220
1976-02-11,7.7220
1976-02-12,.
1976-02-13,7.7220
1976-02-16,.
1976-02-17,7.7220
1976-02-18,7.7220
1976-02-19,7.7220
1976-02-20,7.7220
1976-02-23,7.7220
1976-02-24,7.7220
1976-02-25,7.7220
1976-02-26,7.7220
1976-02-27,7.7220
1976-03-01,7.7220
1976-03-02,7.7220
1976-03-03,7.7220
1976-03-04,7.7220
1976-03-05,7.7220
1976-03-08,7.7220
1976-03-09,7.7220
1976-03-10,7.7220
1976-03-11,7.7220
1976-03-12,7.7519
1976-03-15,7.7519
1976-03-16,7.7519
1976-03-17,7.7519
1976-03-18,7.7519
1976-03-19,8.0321
1976-03-22,8.0321
1976-03-23,8.0321
1976-03-24,8.0321
1976-03-25,8.0321
1976-03-26,8.0645
1976-03-29,8.0645
1976-03-30,8.0645
1976-03-31,8.0645
1976-04-01,8.0645
1976-04-02,8.0321
1976-04-05,8.0321
1976-04-06,8.0321
1976-04-07,8.0321
1976-04-08,8.0321
1976-04-09,8.0645
1976-04-12,8.0645
1976-04-13,8.0645
1976-04-14,8.0645
1976-04-15,8.0645
1976-04-16,8.0645
1976-04-19,8.0645
1976-04-20,8.0645
1976-04-21,8.3682
1976-04-22,8.3682
1976-04-23,8.4034
1976-04-26,8.4034
1976-04-27,8.4034
1976-04-28,8.4034
1976-04-29,8.4034
1976-04-30,8.4034
1976-05-03,8.4034
1976-05-04,8.4034
1976-05-05,8.4034
1976-05-06,8.4034
1976-05-07,8.4034
1976-05-10,8.4034
1976-05-11,8.4034
1976-05-12,8.4034
1976-05-13,8.4034
1976-05-14,8.3682
1976-05-17,8.3682
1976-05-18,8.3682
1976-05-19,8.3682
1976-05-20,8.3682
1976-05-21,8.3682
1976-05-24,8.3682
1976-05-25,8.3682
1976-05-26,8.3682
1976-05-27,8.3682
1976-05-28,8.6957
1976-05-31,.
1976-06-01,8.6957
1976-06-02,8.6957
1976-06-03,8.6957
1976-06-04,8.5837
1976-06-07,8.5837
1976-06-08,8.5837
1976-06-09,8.5837
1976-06-10,8.5837
1976-06-11,8.6957
1976-06-14,8.6957
1976-06-15,8.6957
1976-06-16,8.6957
1976-06-17,8.6957
1976-06-18,8.6957
1976-06-21,8.6957
1976-06-22,8.6957
1976-06-23,8.6957
1976-06-24,8.6957
1976-06-25,8.6957
1976-06-28,8.6957
1976-06-29,8.6957
1976-06-30,8.6957
1976-07-01,8.6957
1976-07-02,8.6957
1976-07-05,.
1976-07-06,8.6957
1976-07-07,8.6957
1976-07-08,8.6957
1976-07-09,8.7336
1976-07-12,8.7336
1976-07-13,8.7336
1976-07-14,8.8889
1976-07-15,8.8889
1976-07-16,8.6957
1976-07-19,8.6957
1976-07-20,8.6957
1976-07-21,8.6957
1976-07-22,8.6957
1976-07-23,8.6957
1976-07-26,8.6957
1976-07-27,8.6957
1976-07-28,8.6957
1976-07-29,8.6957
1976-07-30,8.6957
1976-08-02,8.6957
1976-08-03,8.6957
1976-08-04,8.6957
1976-08-05,8.6957
1976-08-06,8.6957
1976-08-09,8.6957
1976-08-10,8.6957
1976-08-11,8.6957
1976-08-12,8.6957
1976-08-13,8.6957
1976-08-16,8.6957
1976-08-17,8.6957
1976-08-18,8.6957
1976-08-19,8.6957
1976-08-20,8.6957
1976-08-23,8.6957
1976-08-24,8.6957
1976-08-25,8.6957
1976-08-26,8.6957
1976-08-27,8.6730
1976-08-30,8.6730
1976-08-31,8.6730
1976-09-01,8.6730
1976-09-02,8.6730
1976-09-03,8.6730
1976-09-06,.
1976-09-07,8.6730
1976-09-08,8.6730
1976-09-09,8.6730
1976-09-10,8.6957
1976-09-13,8.6957
1976-09-14,8.6957
1976-09-15,8.6957
1976-09-16,8.6957
1976-09-17,8.6957
1976-09-20,8.6957
1976-09-21,8.6957
1976-09-22,8.6957
1976-09-23,8.6957
1976-09-24,8.6580
1976-09-27,8.6580
1976-09-28,8.6580
1976-09-29,8.6580
1976-09-30,8.7336
1976-10-01,8.7336
1976-10-04,8.7336
1976-10-05,8.7336
1976-10-06,8.7336
1976-10-07,8.7336
1976-10-08,8.7336
1976-10-11,.
1976-10-12,8.7336
1976-10-13,8.7336
1976-10-14,8.7336
1976-10-15,8.7719
1976-10-18,8.7719
1976-10-19,8.7719
1976-10-20,8.7719
1976-10-21,8.7719
1976-10-22,8.6957
1976-10-25,8.6957
1976-10-26,8.6957
1976-10-27,8.6957
1976-10-28,8.6957
1976-10-29,8.6957
1976-11-01,8.6957
1976-11-02,.
1976-11-03,8.6957
1976-11-04,8.6957
1976-11-05,8.7336
1976-11-08,8.7336
1976-11-09,8.7336
1976-11-10,8.7336
1976-11-11,.
1976-11-12,8.7336
1976-11-15,8.7336
1976-11-16,8.7336
1976-11-17,8.7336
1976-11-18,8.6957
1976-11-19,8.6957
1976-11-22,8.6957
1976-11-23,8.6957
1976-11-24,8.6957
1976-11-25,.
1976-11-26,8.6957
1976-11-29,8.6957
1976-11-30,8.6957
1976-12-01,8.6957
1976-12-02,8.6957
1976-12-03,8.9286
1976-12-06,8.9286
1976-12-07,8.9286
1976-12-08,8.9286
1976-12-09,8.9286
1976-12-10,8.9286
1976-12-13,8.9286
1976-12-14,8.9286
1976-12-15,8.9286
1976-12-16,8.9286
1976-12-17,8.9286
1976-12-20,8.9286
1976-12-21,8.9286
1976-12-22,8.9286
1976-12-23,8.9286
1976-12-24,8.8889
1976-12-27,8.8889
1976-12-28,8.8889
1976-12-29,8.8889
1976-12-30,8.8889
1976-12-31,8.7719
1977-01-03,8.7719
1977-01-04,8.7719
1977-01-05,8.7719
1977-01-06,8.7719
1977-01-07,8.7719
1977-01-10,8.7336
1977-01-11,8.7336
1977-01-12,8.7336
1977-01-13,8.7336
1977-01-14,8.7719
1977-01-17,8.7719
1977-01-18,8.7719
1977-01-19,8.7719
1977-01-20,8.7719
1977-01-21,8.7336
1977-01-24,8.7336
1977-01-25,8.7336
